To	From
ENSG00000187608	ISG15
ENSG00000131591	C1orf159
ENSG00000186891	TNFRSF18
ENSG00000186827	TNFRSF4
ENSG00000224870	RP4-758J18.2
ENSG00000197530	MIB2
ENSG00000189339	SLC35E2B
ENSG00000157933	SKI
ENSG00000272449	RP3-395M20.12
ENSG00000235169	SMIM1
ENSG00000169598	DFFB
ENSG00000215788	TNFRSF25
ENSG00000049249	TNFRSF9
ENSG00000180758	GPR157
ENSG00000171608	PIK3CD
ENSG00000171603	CLSTN1
ENSG00000271895	RP4-635E18.8
ENSG00000132879	FBXO44
ENSG00000162493	PDPN
ENSG00000116771	AGMAT
ENSG00000179743	RP11-169K16.9
ENSG00000215908	CROCCP2
ENSG00000058453	CROCC
ENSG00000158747	NBL1
ENSG00000169914	OTUD3
ENSG00000162545	CAMK2N1
ENSG00000117298	ECE1
ENSG00000173372	C1QA
ENSG00000159189	C1QC
ENSG00000173369	C1QB
ENSG00000169641	LUZP1
ENSG00000261326	RP5-1057J7.6
ENSG00000204219	TCEA3
ENSG00000117318	ID3
ENSG00000142676	RPL11
ENSG00000236810	RP5-886K2.3
ENSG00000179163	FUCA1
ENSG00000189266	PNRC2
ENSG00000001461	NIPAL3
ENSG00000117602	RCAN3
ENSG00000264443	RP4-594I10.3
ENSG00000020633	RUNX3
ENSG00000157978	LDLRAP1
ENSG00000117643	MAN1C1
ENSG00000233478	RP1-187B23.1
ENSG00000117632	STMN1
ENSG00000142669	SH3BGRL3
ENSG00000169442	CD52
ENSG00000142765	SYTL1
ENSG00000142733	MAP3K6
ENSG00000126705	AHDC1
ENSG00000126709	IFI6
ENSG00000158156	XKR8
ENSG00000197989	SNHG12
ENSG00000159023	EPB41
ENSG00000162512	SDC3
ENSG00000160050	CCDC28B
ENSG00000182866	LCK
ENSG00000175130	MARCKSL1
ENSG00000160058	BSDC1
ENSG00000162520	SYNC
ENSG00000116497	S100PBP
ENSG00000239636	RP4-728D4.2
ENSG00000116922	C1orf109
ENSG00000255103	KIAA0754
ENSG00000259943	RP1-39G22.7
ENSG00000272145	NFYC-AS1
ENSG00000179862	CITED4
ENSG00000127124	HIVEP3
ENSG00000186409	CCDC30
ENSG00000117394	SLC2A1
ENSG00000198520	C1orf228
ENSG00000142937	RPS8
ENSG00000132781	MUTYH
ENSG00000117450	PRDX1
ENSG00000197429	IPP
ENSG00000123080	CDKN2C
ENSG00000134744	ZCCHC11
ENSG00000116157	GPX7
ENSG00000182183	FAM159A
ENSG00000121310	ECHDC2
ENSG00000162407	PPAP2B
ENSG00000177606	JUN
ENSG00000162599	NFIA
ENSG00000132849	INADL
ENSG00000142856	ITGB3BP
ENSG00000079739	PGM1
ENSG00000184588	PDE4B
ENSG00000116717	GADD45A
ENSG00000197568	HHLA3
ENSG00000116791	CRYZ
ENSG00000180488	FAM73A
ENSG00000162616	DNAJB4
ENSG00000273338	RP11-386I14.4
ENSG00000137959	IFI44L
ENSG00000137965	IFI44
ENSG00000142875	PRKACB
ENSG00000153898	MCOLN2
ENSG00000117174	ZNHIT6
ENSG00000122417	ODF2L
ENSG00000117226	GBP3
ENSG00000117228	GBP1
ENSG00000162645	GBP2
ENSG00000213512	GBP7
ENSG00000162654	GBP4
ENSG00000154451	GBP5
ENSG00000174842	GLMN
ENSG00000122484	RPAP2
ENSG00000162676	GFI1
ENSG00000122406	RPL5
ENSG00000154511	FAM69A
ENSG00000117525	F3
ENSG00000117569	PTBP2
ENSG00000156876	SASS6
ENSG00000122435	TRMT13
ENSG00000079335	CDC14A
ENSG00000117543	DPH5
ENSG00000269175	AC093157.1
ENSG00000233184	RP11-421L21.3
ENSG00000170989	S1PR1
ENSG00000185946	RNPC3
ENSG00000162639	HENMT1
ENSG00000121957	GPSM2
ENSG00000134202	GSTM3
ENSG00000184371	CSF1
ENSG00000168679	SLC16A4
ENSG00000259834	RP11-284N8.3
ENSG00000177272	KCNA3
ENSG00000121931	LRIF1
ENSG00000273221	RP5-1180E21.5
ENSG00000162777	DENND2D
ENSG00000064886	CHI3L2
ENSG00000143110	C1orf162
ENSG00000226419	SLC16A1-AS1
ENSG00000198799	LRIG2
ENSG00000081019	RSBN1
ENSG00000134242	PTPN22
ENSG00000116824	CD2
ENSG00000231360	AL592284.1
ENSG00000236943	RP11-640M9.1
ENSG00000178104	PDE4DIP
ENSG00000268172	AL590452.1
ENSG00000131788	PIAS3
ENSG00000117262	GPR89A
ENSG00000186275	NBPF12
ENSG00000131791	PRKAB2
ENSG00000162836	ACP6
ENSG00000235999	RP11-403I13.8
ENSG00000268544	RP11-277L2.4
ENSG00000233368	RP11-277L2.3
ENSG00000150337	FCGR1A
ENSG00000183558	HIST2H2AA3
ENSG00000178096	BOLA1
ENSG00000163113	OTUD7B
ENSG00000143401	ANP32E
ENSG00000143457	GOLPH3L
ENSG00000163131	CTSS
ENSG00000143387	CTSK
ENSG00000143363	PRUNE
ENSG00000143443	C1orf56
ENSG00000213190	MLLT11
ENSG00000143458	GABPB2
ENSG00000159445	THEM4
ENSG00000163191	S100A11
ENSG00000163220	S100A9
ENSG00000163221	S100A12
ENSG00000143546	S100A8
ENSG00000197956	S100A6
ENSG00000196154	S100A4
ENSG00000177954	RPS27
ENSG00000143515	ATP8B2
ENSG00000163346	PBXIP1
ENSG00000163348	PYGO2
ENSG00000132680	KIAA0907
ENSG00000163472	TMEM79
ENSG00000027869	SH2D2A
ENSG00000158485	CD1B
ENSG00000158488	CD1E
ENSG00000163563	MNDA
ENSG00000163564	PYHIN1
ENSG00000163568	AIM2
ENSG00000162739	SLAMF6
ENSG00000117090	SLAMF1
ENSG00000026751	SLAMF7
ENSG00000122224	LY9
ENSG00000215845	TSTD1
ENSG00000143258	USP21
ENSG00000143224	PPOX
ENSG00000158869	FCER1G
ENSG00000173110	HSPA6
ENSG00000203747	FCGR3A
ENSG00000072694	FCGR2B
ENSG00000132185	FCRLA
ENSG00000152382	TADA1
ENSG00000198821	CD247
ENSG00000143185	XCL2
ENSG00000143156	NME7
ENSG00000188404	SELL
ENSG00000171806	METTL18
ENSG00000000457	SCYL3
ENSG00000203739	RP11-296O14.3
ENSG00000120334	CENPL
ENSG00000185278	ZBTB37
ENSG00000152061	RABGAP1L
ENSG00000235750	KIAA0040
ENSG00000116191	RALGPS2
ENSG00000135821	GLUL
ENSG00000143333	RGS16
ENSG00000116701	NCF2
ENSG00000143344	RGL1
ENSG00000116667	C1orf21
ENSG00000073756	PTGS2
ENSG00000150681	RGS18
ENSG00000090104	RGS1
ENSG00000116741	RGS2
ENSG00000116852	KIF21B
ENSG00000159166	LAD1
ENSG00000143851	PTPN7
ENSG00000133048	CHI3L1
ENSG00000058668	ATP2B4
ENSG00000122188	LAX1
ENSG00000257315	ZBED6
ENSG00000133056	PIK3C2B
ENSG00000163545	NUAK2
ENSG00000117280	RAB7L1
ENSG00000136634	IL10
ENSG00000162894	FAIM3
ENSG00000123689	G0S2
ENSG00000117594	HSD11B1
ENSG00000009790	TRAF3IP3
ENSG00000082512	TRAF5
