0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
SOD2,PPP1R14B,HSPD1,RPL41,TMSB4X,S100A4,CD37,AES,STAT1,REL,FABP5,HBB,GIMAP1,NKG7,MALAT1,NEAT1,MT2A,GPNMB,CYLD,CD74
C15orf48,CCL5,PPA1,EEF1A1,TMSB10,CD9,CD79A,LDHB,IRF1,BASP1,MFSD12,HBA2,PIK3IP1,GNLY,MT-CO2,S100A11,MT1X,HMOX1,RCAN3,HLA-DRA
IL8,APOBEC3G,NME1,RPLP1,ACTB,FOS,CD79B,GIMAP7,RNF213,MARCKS,SDC2,HBA1,KLF2,MIR142,MT-CO1,LYZ,MT1F,MPEG1,MAL,HLA-DPA1
KYNU,CST7,RPL22L1,RPL28,FTL,IER2,MS4A1,LTB,LAP3,CSF2RA,HMG20B,RPL17,CCR7,HOPX,MT-ND4,CD63,MT1G,GABARAP,PIM1,HLA-DRB1
IER3,GZMM,CCND2,RPL10,FTH1,MNDA,BANK1,C12orf57,GBP1,LAMP3,A2M,SNCA,TCF7,GZMA,MT-CO3,PRDX1,MT1E,LGMN,TRAT1,HLA-DPB1
SLC7A11,ARHGEF1,IMPDH2,RPS2,SH3BGRL3,CD14,VPREB3,EVL,VAMP5,CD83,LPL,SLC25A37,SELL,KLRD1,MT-ATP6,GPX1,CTSL,FCGR3A,CISH,HLA-DMA
ADAMDEC1,LYAR,ANP32E,RPS28,ACTG1,AMICA1,TCL1A,SNHG8,SNX10,BIRC3,MATK,RPSAP58,NUCB2,CMC1,MT-CYB,CTSS,MT1M,ZFP36,ADTRP,HLA-DQB1
IL1B,ITM2C,MIR155HG,TPT1,GAPDH,FCN1,LINC00926,CD3D,TNFSF13B,CCL22,RGCC,NBEAL1,GIMAP5,CLIC3,MT-ND3,CALR,CCL2,MS4A4A,GPR171,HLA-DRB5
SLC43A2,MXD4,CREM,RPL11,CYBA,FUCA1,ORAI2,PTPRCAP,TAP1,MGLL,PHLDA1,SNORA76,PRKCQ-AS1,KLRB1,MT-ND2,CD44,MT1H,CD163,MYC,HLA-DQA2
NAMPT,CLDND1,PTPN7,RPS15,VIM,TREM2,MEF2C,STK17A,WARS,MYO1G,IL1RN,EEF1G,CAMK4,CTSW,MT-ND1,CSTB,CXCL1,RGL1,BCL2,HLA-DQA1
CLEC4E,FGFBP2,IL2RA,RPS16,PFN1,RNASE6,POU2F2,OCIAD2,GBP5,RAB9A,GCLC,B3GAT2,LEF1,KLRF1,MT-ND5,TYROBP,CA12,OTOA,TXK,PRKCB
SERPINA1,CD8A,SFXN1,RPL19,S100A6,CD36,ID3,CD3E,IFI6,EBI3,SPP1,LINC01116,LINC00861,GZMB,MT-ND4L,BRI3,SLC11A1,CXCL2,FLT3LG,TCF4
IL4I1,RUNX3,TNFRSF4,RPS19,RPS26,DUSP1,RALGPS2,CD2,SLAMF7,MARCKSL1,CA2,SMIM1,OXNAD1,PRF1,,ANXA2,CXCL5,RNASE1,CITED4,CCDC50
SLC2A6,SAMD3,CENPV,RPS27,HSP90AA1,ALOX5AP,GNG7,ATM,GK,FSCN1,EGR2,,GIMAP2,IL2RB,,NPC2,CXCL3,HIST1H2BK,PCED1B,BLNK
MMP14,CCSER2,MCM7,RPL13,HSP90AB1,VSIG4,AFF3,GYPC,GBP2,CDKN1A,EMP1,,SATB1,CCL4,,TALDO1,CCL7,ADA,RP11-138A9.2,CLECL1
SLC39A8,CXCR3,DNAJC9,RPL18A,SRGN,C1orf162,ADAM28,IL32,LY6E,SLC1A2,BCL2A1,,RBL2,XCL2,,PSAP,CD300E,VMO1,FAM101B,QRSL1
CCL3,GZMK,TNFRSF18,RPL21,TUBA1B,OLR1,TNFRSF13C,SEPT6,FAM26F,GPR183,CHI3L1,,ABLIM1,KLRC1,,SDCBP,MARCO,KCNMA1,TMEM173,MTSS1
HIF1A,EOMES,DUSP4,RPL37A,SEC61B,APOE,PDLIM1,CD3G,GBP4,MAP3K13,TM4SF19,,THEM4,LINC00996,,ANXA5,PID1,MSR1,AP3M2,LRMP
SOCS3,RNF19A,NDFIP2,RPS12,HCST,STAB1,STRBP,PDCD4,IFIT3,LYST,ATF3,,FAM134B,AKNA,,FCER1G,C19orf59,ZSCAN16-AS1,JAK3,RP11-35G9.3
GRAMD1A,KLRG1,CMSS1,RPL8,TXN,CEBPD,SNX29P2,GCC2,RARRES3,PTGIR,JAKMIP2,,AC084018.1,CHST12,,CTSZ,CCL8,PFKFB3,INPP4B,GNG11
CD82,C12orf75,DUSP2,RPL39,PSME2,APOC1,PPM1K,ARL4C,CD40,GPR157,CCL24,,CHMP7,C5orf56,,ATP6AP2,MYH11,MAF,LINS,HIST1H2AC
TNFAIP6,PYHIN1,SH2D2A,RPS14,NCL,MS4A6A,SP140,TRAF3IP3,FCGR1A,LAD1,TSC22D1,,LRRN3,PTPN22,,TYMP,FFAR2,SDS,IFITM1,
FPR2,CD8B,LTA,RPL30,HSPE1,EGR1,BCL11A,FOXP1,IDO1,AK8,RP11-20G13.3,,PRKCA,GNG2,,LGALS3,CDKN2D,C1QA,FBLN5,
ITGB8,C1orf21,BATF,RPLP2,ZFP36L1,SORL1,FAIM3,LCK,EPSTI1,TRAF1,CSF1,,TRABD2A,AKR1C3,,ITGB2,,HAMP,PIM2,
MAP1LC3A,RAB27A,CD320,RPS3A,NFKBIA,CFD,PKIG,ACAP1,TNFSF10,IRF4,TNFSF14,,STMN1,PTK2B,,CTSB,,ATP5EP2,SOCS2,
VCAN,LDLRAD4,LINC00152,RPL12,CLEC2B,GCHFR,TPD52,ETS1,IFITM3,NR4A3,SOX4,,PASK,MCTP2,,CD68,,NDUFA7,MAN1C1,
THBS1,PMEPA1,RGS16,RPS7,SAMSN1,GAPT,C16orf74,BTN3A2,SERPING1,DUSP5,CD1B,,NELL2,ARHGAP9,,CYBB,,PPAP2B,RNF157,
IL3RA,GZMH,C19orf48,RPL26,CIR1,RHOB,GGA2,C9orf142,SAMD9L,CTD-2020K17.1,NDRG2,,C14orf64,PILRB,,GRN,,RP11-386I14.4,CMTM8,
MXD1,NXPH4,DDIT4,RPS13,NUB1,FOLR3,ZCCHC7,ISG20,ANKRD22,POGLUT1,RP11-1008C21.1,,TMEM204,FAM43A,,SAT1,,C1QC,DPP4,
